The Filters,1983-01-01,https://www.youtube.com/watch?v=EiB2KQ-Lq50,"Kingston, Ontario",,Let's Spend The Night Together  (Rolling Stones cover) / Knockin' On Heaven's Door  (Bob Dylan cover) / Shake...
The Tragically Hip,1985-11-09,https://www.youtube.com/watch?v=dfRV9k_Ibpg,"Kingston, Ontario",,"Mary, Mary  (Monkees cover) / Baby, Please Don't Go  (Them cover) / Susie Q  (Dale Hawkins..."
The Tragically Hip - (SBD),1985-11-09,https://www.youtube.com/watch?v=lVWDixvoCjM,Kingston,SBD,Here `Tis  (Lou Donaldson cover) / Wish You Would  (Billy Boy Arnold cover) / Evelyn.......................................................................click SHOW...
The Tragically Hip - (SBD),1985-11-09,https://www.youtube.com/watch?v=lVWDixvoCjM,Kingston,SBD,Here `Tis  (Lou Donaldson cover) / Wish You Would  (Billy Boy Arnold cover) / Evelyn.......................................................................click SHOW...
The Tragically Hip - (FM Radio Simulcast),1987-07-02,https://www.youtube.com/watch?v=y-aJeGxrbIs,,,Reformed Baptist Blues / Small Town Bringdown / Last American Exit / Evelyn / I'm A Werewolf Baby
The Tragically Hip,1987-07-02,https://www.youtube.com/watch?v=ywf6iR9qMOM,"Toronto, Ontario",,"Intro/Reformed Baptist Blues / Small Town Bringdown / Last American Exit / Evelyn / I'm A Werewolf, Baby ..."
The Tragically Hip,1988-03-02,https://www.youtube.com/watch?v=CkggbIHyYsY,"Ottawa, Ontario",,Small Town Bringdown / She Didn't Know / Highway Girl / All Canadian Surf Club / Suzy Q / Baby...
The Tragically Hip,1988-03-03,https://www.youtube.com/watch?v=cLajii3V6rI,"London, Ontario",,She Didn't Know / Highway Girl / All Canadian Surf Club / Susie-Q / Baby Please Don't Go / Reformed...
The Tragically Hip,1988-07-15,https://www.youtube.com/watch?v=-rRWCcZx4_8,"Toronto, Ontario",,She Didn't Know  (w/ (Bobby Darrin) Just Friends tag) / Highway Girl / Reformed Baptist Blues / Susie Q  ...
The Tragically Hip - (FM Radio Simulcast),1989-11-02,https://www.youtube.com/watch?v=T7e8HxPx1E0,,,Intro & Blow At High Dough / Interview............................................................click...
The Tragically Hip - (SBD),1989-11-30,https://www.youtube.com/watch?v=nDYqbgFcQ5k,Toronto,SBD,She Didn't Know / Highway Girl  (w/ (The Cars) Moving In Stereo - Spine Transplant) / Small Town Bringdown / Opiated / Everytime You Go / Last American...
The Tragically Hip - CBC Video Hits Presents: 1990,1990,https://www.youtube.com/watch?v=ro038mqABuo,,,
The Tragically Hip - (FM Radio Simulcast),1990-02-23,https://www.youtube.com/watch?v=IWUL_JGP6Nk,,,Intro & She Didn't Know / Highway Girl / Small Town Bringdown / Opiated / It's Just As Well
The Tragically Hip - (FM Radio Simulcast),1990-06-22,https://www.youtube.com/watch?v=ZQe0JiK4wsY,,,I'll Believe In You (Or I'll Be Leaving You Tonight) / It's Just As Well / She Didn't Know
The Tragically Hip - (FM Radio Simulcast),1990-11-13,https://www.youtube.com/watch?v=MoknzVWstac,,,Intro & Trickle Down / Boots Or Hearts................................................click SHOW MORE...
The Tragically Hip - (Upgraded STU/SBD),1991,https://www.youtube.com/watch?v=Agj22GQL9mo,Amsterdam,SBD,"Pussy Cat  (Soundcheck) / (Early) At the Hundredth Meridian / Yeah, Yeah, Yeah  (Soundcheck)"
The Tragically Hip - Hengelo Revisited 1991 (Complete Bootleg),1991,https://www.youtube.com/watch?v=zjzBE4CLYqw,,,Crack Your Spine Like a Whip / She Didn't Know / Twist My Arm / (Early) Looking for a Place to Happen / Bring It All Back / Boots or Hearts
The Tragically Hip - (SBD),1991-03-01,https://www.youtube.com/watch?v=iNy_m9Xxkhk,Vancouver,SBD,Little Bones / She Didn't Know / Twist My Arm / Highway Girl / The Luxury / Everytime You Go / Bring it all Back / I'll Believe in...
The Tragically Hip - (FM Radio Simulcast),1991-04-20,https://www.youtube.com/watch?v=s_KGo8H7SN4,,,Little Bones / She Didn't Know....................................................click SHOW...
The Tragically Hip,1991-12-31,https://www.youtube.com/watch?v=j2ZrR41UkqU,"Ottawa, Ontario",,Station Intro and Three Pistols / So Hard Done By......................................click SHOW MORE...
The Tragically Hip,1991-12-31,https://www.youtube.com/watch?v=j2ZrR41UkqU,"Ottawa, Ontario",,Station Intro and Three Pistols / So Hard Done By......................................click SHOW MORE...
